time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-06-07T21:18:19.830Z,33.1708333,-115.6395,5.71,2.69,ml,59,30,0.01876,0.24,ci,ci39928704,2021-09-01T22:54:39.270Z,"13km WNW of Calipatria, CA",earthquake,0.21,0.45,0.211,81,reviewed,ci,ci
2021-06-07T21:08:28.590Z,33.1666667,-115.64,5.34,4.08,mw,108,24,0.02198,0.29,ci,ci39928664,2021-09-05T14:40:18.996Z,"13km WNW of Calipatria, CA",earthquake,0.16,0.38,,6,reviewed,ci,ci
2021-06-07T20:39:00.615Z,0.5414,123.6217,246.45,4.3,mb,,68,1.787,0.82,us,us7000eaw9,2021-08-24T21:34:29.040Z,"62 km E of Gorontalo, Indonesia",earthquake,7.6,7.2,0.108,24,reviewed,us,us
2021-06-07T20:24:26.492Z,19.1731,-63.2893,10,4.3,mb,,112,1.544,0.77,us,us7000ec52,2021-08-24T21:33:11.040Z,"108 km NNW of The Valley, Anguilla",earthquake,2.8,1.9,0.126,18,reviewed,us,us
2021-06-07T20:15:38.453Z,19.144,-63.2671,10,4.6,mb,,85,1.103,0.8,us,us7000eavv,2021-08-24T21:34:29.040Z,"104 km NNW of The Valley, Anguilla",earthquake,6.4,1.9,0.058,88,reviewed,us,us
2021-06-07T19:59:18.206Z,43.7021,-105.3461,0,3.6,ml,,36,1.035,0.91,us,us7000eavn,2021-08-24T21:34:30.040Z,"Wyoming",mining explosion,6.4,1.7,0.045,64,reviewed,us,us
2021-06-07T19:37:57.486Z,13.3493,-91.6991,10,4.7,mb,,94,2.209,1.11,us,us7000eavc,2021-08-24T21:34:30.040Z,"103 km SSW of Nueva Concepción, Guatemala",earthquake,8.3,1.9,0.033,281,reviewed,us,us
2021-06-07T18:52:35.234Z,-16.407,-172.4404,10,4.4,mb,,166,2.563,0.95,us,us7000ec3d,2021-08-24T21:33:17.040Z,"153 km ESE of Hihifo, Tonga",earthquake,9.7,1.9,0.17,13,reviewed,us,us
2021-06-07T18:41:54.910Z,17.9598,-66.963,7,2.69,md,15,202,0.0818,0.29,pr,pr2021158004,2021-06-07T18:57:13.259Z,"5 km WSW of Fuig, Puerto Rico",earthquake,0.73,0.47,0.11,10,reviewed,pr,pr
2021-06-07T18:18:20.262Z,18.4691,147.4099,10,4.5,mb,,140,5.432,1.03,us,us7000ec3c,2021-08-24T21:33:18.040Z,"Mariana Islands region",earthquake,15,1.9,0.08,46,reviewed,us,us
2021-06-07T18:17:42.139Z,12.2284,124.1782,35,4.3,mb,,156,9.976,0.87,us,us7000ec3b,2021-08-24T21:33:18.040Z,"9 km ESE of San Vicente, Philippines",earthquake,13.6,2,0.142,14,reviewed,us,us
2021-06-07T18:05:02.930Z,31.1753333,-116.42,6.27,3.31,ml,4,276,0.5856,0.11,ci,ci39928368,2021-06-08T04:29:44.242Z,"62km SSE of Maneadero, B.C., MX",earthquake,1.64,5.5,0.117,35,reviewed,ci,ci
2021-06-07T18:03:27.667Z,18.7241,145.4847,236.99,4.7,mb,,61,5.139,0.94,us,us7000eau7,2021-08-24T21:34:30.040Z,"Pagan region, Northern Mariana Islands",earthquake,9.9,6.3,0.031,319,reviewed,us,us
